"Preis","Kilometer","Service","Garage","Farbe"
5318.0,37388.0,2.0,0,1
5061.0,44758.0,2.0,0,1
5008.0,45833.0,2.0,0,3
5795.0,30862.0,4.0,1,3
5784.0,31705.0,4.0,1,2
5359.0,34010.0,2.0,0,2
5235.0,45854.0,3.0,1,1
5845.0,19057.0,2.0,1,3
5536.0,40149.0,4.0,1,1
5401.0,40237.0,3.0,0,1
5595.0,32359.0,3.0,1,2
5330.0,43533.0,4.0,0,1
5806.0,32744.0,4.0,1,1
5805.0,34470.0,5.0,1,2
5317.0,37720.0,2.0,1,2
5316.0,41350.0,3.0,1,1
5870.0,24469.0,3.0,1,3
5504.0,35781.0,3.0,0,1
5333.0,48613.0,5.0,1,1
5705.0,24188.0,2.0,0,1
5150.0,38775.0,1.0,0,3
5249.0,45563.0,3.0,1,1
5775.0,28676.0,3.0,1,2
5327.0,38231.0,2.0,1,3
5192.0,36683.0,1.0,1,3
5544.0,32517.0,3.0,0,1
5054.0,39050.0,1.0,0,1
5115.0,45251.0,2.0,1,1
5410.0,34384.0,2.0,0,1
5529.0,38383.0,4.0,0,3
5507.0,32161.0,2.0,1,3
5873.0,26561.0,4.0,1,2
5303.0,33533.0,1.0,0,1
5237.0,41849.0,3.0,0,1
5383.0,36668.0,2.0,0,3
5286.0,37495.0,2.0,0,1
5827.0,25629.0,3.0,1,2
5483.0,40099.0,4.0,1,2
5440.0,31014.0,2.0,0,1
5215.0,42233.0,2.0,1,1
5105.0,37407.0,1.0,0,3
5685.0,34356.0,4.0,1,2
5788.0,30599.0,4.0,1,3
5208.0,42485.0,2.0,1,3
5168.0,38430.0,1.0,1,1
5128.0,40452.0,2.0,1,3
5750.0,26030.0,3.0,1,3
4965.0,46296.0,2.0,0,1
5238.0,34844.0,1.0,1,3
5763.0,27379.0,3.0,1,2
5162.0,47875.0,3.0,1,3
5486.0,35648.0,3.0,1,2
5257.0,42501.0,3.0,0,1
5228.0,43803.0,3.0,0,1
5135.0,43481.0,2.0,0,3
5267.0,34279.0,1.0,1,3
5290.0,41370.0,3.0,0,3
5387.0,34966.0,2.0,0,1
5091.0,41427.0,1.0,0,3
5667.0,30241.0,3.0,1,2
5146.0,47228.0,3.0,0,3
5765.0,24464.0,2.0,1,2
5911.0,21221.0,3.0,1,2
5532.0,35521.0,3.0,0,1
5499.0,28006.0,1.0,1,1
5204.0,38079.0,2.0,0,3
5271.0,42332.0,3.0,0,3
5007.0,49223.0,3.0,0,3
5337.0,33358.0,1.0,1,2
5066.0,37819.0,1.0,1,1
5605.0,35975.0,4.0,0,2
5637.0,38085.0,4.0,0,1
5286.0,35236.0,2.0,1,3
5820.0,20962.0,2.0,0,2
5187.0,45808.0,3.0,1,2
5435.0,36183.0,3.0,1,1
5499.0,34399.0,3.0,1,2
4787.0,44330.0,0.0,0,3
5707.0,32063.0,4.0,1,2
5457.0,34641.0,3.0,0,2
5365.0,31049.0,1.0,1,3
5160.0,38636.0,1.0,0,3
5551.0,36468.0,4.0,0,2
5568.0,25745.0,1.0,0,1
5122.0,39198.0,1.0,1,3
5854.0,21535.0,2.0,0,2
5297.0,37135.0,2.0,1,1
5148.0,42581.0,2.0,0,3
5416.0,33023.0,2.0,0,1
5733.0,31644.0,4.0,1,2
5478.0,35969.0,3.0,0,2
5690.0,29051.0,3.0,1,2
5286.0,38180.0,2.0,1,2
5745.0,31494.0,4.0,1,2
5525.0,31372.0,2.0,1,3
5424.0,36238.0,3.0,0,3
5283.0,34212.0,1.0,1,1
5259.0,33190.0,1.0,0,2
5356.0,39196.0,3.0,0,1
5133.0,36392.0,1.0,1,1
